Model,R2,RMSE,MAE,HCO3,CO3,CO2
CatBoost,0.979197025,0.624702268,0.444585981,"[2100.07047332 2081.25092969 2135.16525342 2105.43743369 2119.92424011
 2080.92730427 2099.27053522 2086.51321244 2092.96941825 2121.12912606]","[343.91494899 343.98655362 353.91894719 352.59404965 349.10289129
 345.92402935 343.6016791  336.2383342  347.57594835 350.95993193]","[10.66568196 10.51692438 10.78340067 10.58280324 10.7420204  10.49201045
 10.66436474 10.67834135 10.56281158 10.72426015]"
Random Forest,0.971504735,0.73113355,0.469883489,"[2099.51529271 2081.38532817 2136.59992407 2106.59998213 2120.70352004
 2081.16298041 2098.06802922 2087.37403488 2087.43446894 2119.65591307]","[343.82403065 344.00876684 354.15675414 352.78873967 349.23122081
 345.96320709 343.40485689 336.37705439 346.65676853 350.71617556]","[10.66286235 10.51760352 10.79064631 10.58864669 10.74596915 10.49319873
 10.65825597 10.68274686 10.53487776 10.7168117 ]"
LightGBM,0.969000031,0.762589805,0.479953573,"[2097.85510294 2081.94813605 2137.87166384 2104.06791509 2121.6982312
 2080.98599466 2097.32624255 2086.46999039 2089.52233539 2123.46010635]","[343.55215212 344.10178702 354.36755412 352.36469868 349.39502692
 345.93378577 343.28344369 336.23136904 347.00349704 351.34561363]","[10.65443071 10.52044748 10.79706908 10.57591947 10.75100952 10.49230637
 10.65448767 10.67812015 10.54541482 10.7360454 ]"
XGBoost,0.963358179,0.829084672,0.519420906,"[2098.16643455 2081.23831234 2135.32264656 2105.51185752 2121.14165915
 2081.84688342 2096.46333797 2084.64161898 2087.29367715 2120.42613062]","[343.60313688 343.98446824 353.94503624 352.60651328 349.30337227
 346.07689606 343.14220631 335.93672985 346.63338747 350.843615  ]","[10.65601187 10.51686062 10.78419557 10.58317733 10.74818928 10.49664696
 10.65010408 10.66876293 10.53416721 10.72070586]"
KNN,0.952563477,0.943336823,0.60909345,"[2099.68208812 2081.56858577 2137.4649174  2104.41737358 2120.05538193
 2079.55823977 2096.54719332 2088.75963589 2112.45729781 2121.29417467]","[343.85134566 344.03905542 354.30013298 352.4232219  349.12448734
 345.6964422  343.15593148 336.60034182 350.81226808 350.98724071]","[10.66370946 10.51852955 10.79501485 10.57767599 10.74268492 10.48510765
 10.65053007 10.68983808 10.66116313 10.72509462]"
MLP,0.89083714,1.431026961,1.091227752,"[2104.54968386 2083.17874862 2132.21519055 2116.54791487 2116.07002274
 2080.69834018 2099.62468951 2092.03030984 2094.53830747 2130.33508691]","[344.64848031 344.30518113 353.42995313 354.45470316 348.4681901
 345.88596738 343.65964591 337.1274058  347.83649117 352.48314113]","[10.68843065 10.52666598 10.76850173 10.63864913 10.72249042 10.49085602
 10.66616385 10.70657671 10.57072946 10.77080475]"
